year,category,sub_category,winner,entity,
2011,DIRECTING,DIRECTING,FALSE,Midnight in Paris,
2011,DIRECTING,DIRECTING,FALSE,The Tree of Life,
2011,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Hell and Back Again,
2011,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,If a Tree Falls: A Story of the Earth Liberation Front,
2011,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Paradise Lost 3: Purgatory,
2011,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Pina,
2011,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,Undefeated,
2011,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,
2011,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,God Is the Bigger Elvis,
2011,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Incident in New Baghdad,
2011,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,Saving Face,
