year,category,sub_category,winner,entity,id
2004,ART DIRECTION,ART DIRECTION,FALSE,Lemony Snicket's A Series of Unfortunate Events,tt0339291
2004,ART DIRECTION,ART DIRECTION,FALSE,The Phantom of the Opera,tt0293508
2004,ART DIRECTION,ART DIRECTION,FALSE,A Very Long Engagement,tt0344510
2004,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,The Aviator,tt0338751
2004,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,House of Flying Daggers,tt0385004
2004,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Passion of the Christ,tt0335345
2004,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Phantom of the Opera,tt0293508
2004,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,A Very Long Engagement,tt0344510
2004,COSTUME DESIGN,COSTUME DESIGN,TRUE,The Aviator,tt0338751
2004,COSTUME DESIGN,COSTUME DESIGN,FALSE,Finding Neverland,tt0308644
2004,COSTUME DESIGN,COSTUME DESIGN,FALSE,Lemony Snicket's A Series of Unfortunate Events,tt0339291
2004,COSTUME DESIGN,COSTUME DESIGN,FALSE,Ray,tt0350258
2004,COSTUME DESIGN,COSTUME DESIGN,FALSE,Troy,tt0332452
2004,DIRECTING,DIRECTING,FALSE,The Aviator,tt0338751
2004,DIRECTING,DIRECTING,TRUE,Million Dollar Baby,tt0405159
2004,DIRECTING,DIRECTING,FALSE,Ray,tt0350258
2004,DIRECTING,DIRECTING,FALSE,Sideways,tt0375063
2004,DIRECTING,DIRECTING,FALSE,Vera Drake,tt0383694
2004,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,Born into Brothels,
2004,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,The Story of the Weeping Camel,
2004,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Super Size Me,tt0390521
2004,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Tupac: Resurrection,
2004,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Twist of Faith,tt0436857
2004,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Autism Is a World,tt0443434
2004,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,The Children of Leningradsky,
2004,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Hardwood,
2004,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,Mighty Times: The Children's March,tt0443587
2004,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Sister Rose's Passion,tt0420195
2004,FILM EDITING,FILM EDITING,TRUE,The Aviator,tt0338751
2004,FILM EDITING,FILM EDITING,FALSE,Collateral,tt0369339
2004,FILM EDITING,FILM EDITING,FALSE,Finding Neverland,tt0308644
2004,FILM EDITING,FILM EDITING,FALSE,Million Dollar Baby,tt0405159
2004,FILM EDITING,FILM EDITING,FALSE,Ray,tt0350258
2004,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,As It Is in Heaven,tt0382330
2004,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Chorus (Les Choristes),
2004,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Downfall,tt0363163
2004,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,The Sea Inside,tt0369702
2004,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Yesterday,tt0419279
2004,MAKEUP,MAKEUP,TRUE,Lemony Snicket's A Series of Unfortunate Events,tt0339291
2004,MAKEUP,MAKEUP,FALSE,The Passion of the Christ,tt0335345
2004,MAKEUP,MAKEUP,FALSE,The Sea Inside,tt0369702
2004,MUSIC,MUSIC (Original Score),TRUE,Finding Neverland,tt0308644
2004,MUSIC,MUSIC (Original Score),FALSE,Harry Potter and the Prisoner of Azkaban,tt0304141
2004,MUSIC,MUSIC (Original Score),FALSE,Lemony Snicket's A Series of Unfortunate Events,tt0339291
2004,MUSIC,MUSIC (Original Score),FALSE,The Passion of the Christ,tt0335345
2004,MUSIC,MUSIC (Original Score),FALSE,The Village,tt0368447
2004,MUSIC,MUSIC (Original Song),FALSE,Shrek 2,tt0298148
2004,MUSIC,MUSIC (Original Song),TRUE,The Motorcycle Diaries,tt0318462
2004,MUSIC,MUSIC (Original Song),FALSE,The Polar Express,tt0338348
2004,MUSIC,MUSIC (Original Song),FALSE,The Phantom of the Opera,tt0293508
2004,MUSIC,MUSIC (Original Song),FALSE,The Chorus (Les Choristes),
2004,BEST PICTURE,BEST PICTURE,FALSE,The Aviator,tt0338751
2004,BEST PICTURE,BEST PICTURE,FALSE,Finding Neverland,tt0308644
2004,BEST PICTURE,BEST PICTURE,TRUE,Million Dollar Baby,tt0405159
2004,BEST PICTURE,BEST PICTURE,FALSE,Ray,tt0350258
2004,BEST PICTURE,BEST PICTURE,FALSE,Sideways,tt0375063
2004,SHORT FILM,SHORT FILM (Animated),FALSE,Birthday Boy,tt0432255
2004,SHORT FILM,SHORT FILM (Animated),FALSE,Gopher Broke,tt0438064
2004,SHORT FILM,SHORT FILM (Animated),FALSE,Guard Dog,tt0430159
2004,SHORT FILM,SHORT FILM (Animated),FALSE,Lorenzo,tt0412936
2004,SHORT FILM,SHORT FILM (Animated),TRUE,Ryan,tt0414469
2004,SHORT FILM,SHORT FILM (Live Action),FALSE,Everything in This Country Must,tt0443499
2004,SHORT FILM,SHORT FILM (Live Action),FALSE,Little Terrorist,tt0425200
2004,SHORT FILM,SHORT FILM (Live Action),FALSE,7:35 in the Morning (7:35 de la Mañana),
2004,SHORT FILM,SHORT FILM (Live Action),FALSE,"Two Cars, One Night",
2004,SHORT FILM,SHORT FILM (Live Action),TRUE,Wasp,
2004,SOUND,SOUND EDITING,TRUE,The Incredibles,tt0317705
2004,SOUND,SOUND EDITING,FALSE,The Polar Express,tt0338348
2004,SOUND,SOUND EDITING,FALSE,Spider-Man 2,tt0316654
2004,SOUND,SOUND MIXING,FALSE,The Aviator,tt0338751
2004,SOUND,SOUND MIXING,FALSE,The Incredibles,tt0317705
2004,SOUND,SOUND MIXING,FALSE,The Polar Express,tt0338348
2004,SOUND,SOUND MIXING,TRUE,Ray,tt0350258
2004,SOUND,SOUND MIXING,FALSE,Spider-Man 2,tt0316654
2004,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Harry Potter and the Prisoner of Azkaban,tt0304141
2004,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,"I, Robot",
2004,SPECIAL EFFECTS,VISUAL EFFECTS,TRUE,Spider-Man 2,tt0316654
2004,WRITING,WRITING (Adapted Screenplay),FALSE,Before Sunset,tt0381681
2004,WRITING,WRITING (Adapted Screenplay),FALSE,Finding Neverland,tt0308644
2004,WRITING,WRITING (Adapted Screenplay),FALSE,Million Dollar Baby,tt0405159
2004,WRITING,WRITING (Adapted Screenplay),FALSE,The Motorcycle Diaries,tt0318462
2004,WRITING,WRITING (Adapted Screenplay),TRUE,Sideways,tt0375063
2004,WRITING,WRITING (Original Screenplay),FALSE,The Aviator,tt0338751
2004,WRITING,WRITING (Original Screenplay),TRUE,Eternal Sunshine of the Spotless Mind,tt0338013
2004,WRITING,WRITING (Original Screenplay),FALSE,Hotel Rwanda,tt0395169
2004,WRITING,WRITING (Original Screenplay),FALSE,The Incredibles,tt0317705
2004,WRITING,WRITING (Original Screenplay),FALSE,Vera Drake,tt0383694
2003,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Brother Bear,tt0328880
2003,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Finding Nemo,tt0266543
2003,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Triplets of Belleville,tt0286244
2003,ART DIRECTION,ART DIRECTION,FALSE,Girl with a Pearl Earring,tt0335119
2003,ART DIRECTION,ART DIRECTION,FALSE,The Last Samurai,tt0325710
2003,ART DIRECTION,ART DIRECTION,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,ART DIRECTION,ART DIRECTION,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,ART DIRECTION,ART DIRECTION,FALSE,Seabiscuit,tt0329575
2003,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,City of God,
2003,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Cold Mountain,tt0159365
2003,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Girl with a Pearl Earring,tt0335119
2003,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,Master and Commander: The Far Side of the World,tt0311113
2003,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Seabiscuit,tt0329575
2003,COSTUME DESIGN,COSTUME DESIGN,FALSE,Girl with a Pearl Earring,tt0335119
2003,COSTUME DESIGN,COSTUME DESIGN,FALSE,The Last Samurai,tt0325710
2003,COSTUME DESIGN,COSTUME DESIGN,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,COSTUME DESIGN,COSTUME DESIGN,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,COSTUME DESIGN,COSTUME DESIGN,FALSE,Seabiscuit,tt0329575
2003,DIRECTING,DIRECTING,FALSE,City of God,
2003,DIRECTING,DIRECTING,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,DIRECTING,DIRECTING,FALSE,Lost in Translation,tt0335266
2003,DIRECTING,DIRECTING,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,DIRECTING,DIRECTING,FALSE,Mystic River,tt0327056
2003,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Balseros,
2003,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Capturing the Friedmans,tt0342172
2003,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,The Fog of War,
2003,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,My Architect,tt0373175
2003,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,The Weather Underground,
2003,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Asylum,tt0330009
2003,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,Chernobyl Heart,tt0396959
2003,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Ferry Tales,tt0363607
2003,FILM EDITING,FILM EDITING,FALSE,City of God,
2003,FILM EDITING,FILM EDITING,FALSE,Cold Mountain,tt0159365
2003,FILM EDITING,FILM EDITING,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,FILM EDITING,FILM EDITING,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,FILM EDITING,FILM EDITING,FALSE,Seabiscuit,tt0329575
2003,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,The Barbarian Invasions,tt0338135
2003,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Evil,tt0338309
2003,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Twilight Samurai,
2003,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Twin Sisters,
2003,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Zelary,tt0288330
2003,MAKEUP,MAKEUP,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,MAKEUP,MAKEUP,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,MAKEUP,MAKEUP,FALSE,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
2003,MUSIC,MUSIC (Original Score),FALSE,Big Fish,tt0319061
2003,MUSIC,MUSIC (Original Score),FALSE,Cold Mountain,tt0159365
2003,MUSIC,MUSIC (Original Score),FALSE,Finding Nemo,tt0266543
2003,MUSIC,MUSIC (Original Score),FALSE,House of Sand and Fog,tt0315983
2003,MUSIC,MUSIC (Original Score),TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,MUSIC,MUSIC (Original Song),FALSE,The Triplets of Belleville,tt0286244
2003,MUSIC,MUSIC (Original Song),TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,MUSIC,MUSIC (Original Song),FALSE,A Mighty Wind,tt0310281
2003,MUSIC,MUSIC (Original Song),FALSE,Cold Mountain,tt0159365
2003,MUSIC,MUSIC (Original Song),FALSE,Cold Mountain,tt0159365
2003,BEST PICTURE,BEST PICTURE,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,BEST PICTURE,BEST PICTURE,FALSE,Lost in Translation,tt0335266
2003,BEST PICTURE,BEST PICTURE,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,BEST PICTURE,BEST PICTURE,FALSE,Mystic River,tt0327056
2003,BEST PICTURE,BEST PICTURE,FALSE,Seabiscuit,tt0329575
2003,SHORT FILM,SHORT FILM (Animated),FALSE,Boundin',tt0395479
2003,SHORT FILM,SHORT FILM (Animated),FALSE,Destino,tt0377770
2003,SHORT FILM,SHORT FILM (Animated),FALSE,Gone Nutty,
2003,SHORT FILM,SHORT FILM (Animated),TRUE,Harvie Krumpet,tt0382734
2003,SHORT FILM,SHORT FILM (Animated),FALSE,Nibbles,tt0392542
2003,SHORT FILM,SHORT FILM (Live Action),FALSE,Die Rote Jacke (The Red Jacket),
2003,SHORT FILM,SHORT FILM (Live Action),FALSE,Most (The Bridge),
2003,SHORT FILM,SHORT FILM (Live Action),FALSE,Squash,
2003,SHORT FILM,SHORT FILM (Live Action),FALSE,(A) Torzija [(A) Torsion],
2003,SHORT FILM,SHORT FILM (Live Action),TRUE,Two Soldiers,tt0304858
2003,SOUND,SOUND EDITING,FALSE,Finding Nemo,tt0266543
2003,SOUND,SOUND EDITING,TRUE,Master and Commander: The Far Side of the World,tt0311113
2003,SOUND,SOUND EDITING,FALSE,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
2003,SOUND,SOUND MIXING,FALSE,The Last Samurai,tt0325710
2003,SOUND,SOUND MIXING,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,SOUND,SOUND MIXING,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,SOUND,SOUND MIXING,FALSE,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
2003,SOUND,SOUND MIXING,FALSE,Seabiscuit,tt0329575
2003,SPECIAL EFFECTS,VISUAL EFFECTS,TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Master and Commander: The Far Side of the World,tt0311113
2003,SPECIAL EFFECTS,VISUAL EFFECTS,FALSE,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
2003,WRITING,WRITING (Adapted Screenplay),FALSE,American Splendor,tt0305206
2003,WRITING,WRITING (Adapted Screenplay),FALSE,City of God,
2003,WRITING,WRITING (Adapted Screenplay),TRUE,The Lord of the Rings: The Return of the King,tt0167260
2003,WRITING,WRITING (Adapted Screenplay),FALSE,Mystic River,tt0327056
2003,WRITING,WRITING (Adapted Screenplay),FALSE,Seabiscuit,tt0329575
2003,WRITING,WRITING (Original Screenplay),FALSE,The Barbarian Invasions,tt0338135
2003,WRITING,WRITING (Original Screenplay),FALSE,Dirty Pretty Things,
2003,WRITING,WRITING (Original Screenplay),FALSE,Finding Nemo,tt0266543
2003,WRITING,WRITING (Original Screenplay),FALSE,In America,
2003,WRITING,WRITING (Original Screenplay),TRUE,Lost in Translation,tt0335266
2002,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Ice Age,tt0268380
2002,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Lilo & Stitch,tt0275847
2002,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Spirit: Stallion of the Cimarron,tt0166813
2002,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Spirited Away,
2002,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Treasure Planet,tt0133240
2002,ART DIRECTION,ART DIRECTION,TRUE,Chicago,tt0299658
2002,ART DIRECTION,ART DIRECTION,FALSE,Frida,tt0120679
2002,ART DIRECTION,ART DIRECTION,FALSE,Gangs of New York,tt0217505
2002,ART DIRECTION,ART DIRECTION,FALSE,The Lord of the Rings: The Two Towers,tt0167261
2002,ART DIRECTION,ART DIRECTION,FALSE,Road to Perdition,tt0257044
2002,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Chicago,tt0299658
2002,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Far from Heaven,tt0297884
2002,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Gangs of New York,tt0217505
2002,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Pianist,tt0253474
